region,countryname,topic,indicatorname,year,value
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2002,525.858593
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2002,20.137
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2002,2.872
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2002,2.105
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2002,77.319
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2002,1.8543951470538
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2002,343383
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2001,49
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2001,62
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2001,20.913
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2001,525.01802749
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2001,2.904
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2001,2.181
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2001,77.132
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2001,337074
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2001,1.95324560668466
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2000,330554
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2000,51
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2000,64
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2000,2.0606934279725
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2000,543.43193622
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2000,2.959
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2000,21.852
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2000,2.278
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2000,76.935
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),1999,580.38402955
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1999,22.936
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1999,3.03
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1999,2.395
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1999,76.727
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1999,323812
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1999,2.16620377819118
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1999,67
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1999,53
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1998,2.526
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1998,56
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1998,70
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),1998,566.25679118
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1998,2.27484559026106
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1998,316873
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1998,3.108
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1998,24.114
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1998,76.512
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1997,59
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1997,74
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1997,2.38399385700056
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1997,309746
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),1997,623.29714294
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1997,25.326
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1997,76.293
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1997,2.664
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1997,3.186
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1996,26.526
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1996,76.069
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1996,3.261
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1996,62
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1996,79
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1996,2.806
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1996,2.49034141454623
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1996,302449
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),1996,626.53608969
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1995,75.842
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1995,2.946
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1995,3.334
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1995,295010
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1995,2.6054255791733
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1995,82
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1995,65
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1995,27.666
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),1995,472.87608436
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1994,75.61
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1994,3.406
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1994,28.707
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1994,287423
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1994,2.71766205112093
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1994,84
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1994,66
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1994,3.08
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1993,75.374
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1993,279717
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1993,2.80167534656675
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1993,85
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1993,68
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1993,29.63
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1993,3.483
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1993,3.209
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1992,3.565
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1992,30.421
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1992,271989
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1992,2.84309002757051
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1992,86
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1992,68
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1992,3.329
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1992,75.134
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1991,3.653
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1991,264365
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1991,2.84920213893774
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1991,74.889
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1991,31.06
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1991,3.438
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1991,68
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1991,86
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",1990,31.519
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",1990,74.639
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",1990,3.532
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",1990,3.742
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,1990,68
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,1990,86
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),1990,2.84263343104073
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",1990,256939
East Asia & Pacific,Cambodia,Health: Health services,Health expenditure per capita (current US$),2010,45.5484699
East Asia & Pacific,Cambodia,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2010,25.491
East Asia & Pacific,Cambodia,Health: Disease prevention,Improved water source (% of population with access),2010,64.2
East Asia & Pacific,Cambodia,Health: Reproductive health,"Fertility rate, total (births per woman)",2010,2.875
East Asia & Pacific,Cambodia,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2010,86.1
East Asia & Pacific,Cambodia,Health: Mortality,Number of infant deaths,2010,13992
East Asia & Pacific,Cambodia,Health: Mortality,Number of under-five deaths,2010,16171
East Asia & Pacific,Cambodia,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2010,6.525
East Asia & Pacific,Cambodia,Health: Mortality,"Life expectancy at birth, female (years)",2010,68.605
East Asia & Pacific,Cambodia,Health: Population: Dynamics,Population growth (annual %),2010,1.53819219244247
East Asia & Pacific,Cambodia,Health: Population: Structure,"Population, total",2010,14363586
East Asia & Pacific,Cambodia,Health: Population: Dynamics,Population growth (annual %),2009,1.50068364050621
East Asia & Pacific,Cambodia,Health: Population: Structure,"Population, total",2009,14144337
East Asia & Pacific,Cambodia,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2009,25.755
East Asia & Pacific,Cambodia,Health: Reproductive health,"Fertility rate, total (births per woman)",2009,2.947
East Asia & Pacific,Cambodia,Health: Disease prevention,Improved water source (% of population with access),2009,61.9
East Asia & Pacific,Cambodia,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2009,83.2
